Sym,Name,Industry,M Cap,%5d
DRA,DRA GLOBAL LIMITED,Capital Goods,$82M,-5.7
IRI,INTEGRATED RESEARCH LIMITED,Software & Services,$82M,-14.29
MLG,MLG OZ LIMITED,Materials,$81M,0.92
NUZ,NEURIZON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$81M,-5.71
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,$81M,-42.5
WRK,WRKR LTD,Software & Services,$81M,0.0
MAY,MELBANA ENERGY LIMITED,Energy,$81M,-3.7
ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,$81M,0.0
TGN,TUNGSTEN MINING NL,Materials,$80M,10.0
PIQ,PROTEOMICS INTERNATIONAL LABORATORIES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$80M,-8.89
DME,DOME GOLD MINES LIMITED,Materials,$79M,0.0
EVS,ENVIROSUITE LIMITED,Software & Services,$79M,-0.91
CNB,CARNABY RESOURCES LIMITED,Materials,$78M,7.69
ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail,$78M,-10.17
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$78M,-14.29
BMT,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services,$78M,5.66
AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$78M,0.78
B4P,BEFOREPAY GROUP LIMITED,Financial Services,$78M,-19.1
SSL,SIETEL LIMITED,Real Estate Management & Development,$78M,0.0
ZEO,ZEOTECH LIMITED,Materials,$78M,-10.64
MDX,MINDAX LIMITED,Materials,$78M,-2.56
FLC,FLUENCE CORPORATION LIMITED,Utilities,$78M,-1.33
AV1,ADVERITAS LIMITED,Software & Services,$78M,-10.0
ASN,ANSON RESOURCES LIMITED,Materials,$78M,-1.75
ECH,ECHELON RESOURCES LIMITED,Energy,$77M,1.47
MTM,MTM CRITICAL METALS LIMITED,Materials,$77M,15.62
AL3,AML3D LIMITED,Capital Goods,$76M,6.06
APW,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs),$75M,-1.17
LSX,LION SELECTION GROUP LIMITED.,Not Applic,$75M,-3.64
DSK,DUSK GROUP LIMITED,Consumer Discretionary Distribution & Retail,$75M,1.26
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,$75M,0.61
SMN,STRUCTURAL MONITORING SYSTEMS PLC,Technology Hardware & Equipment,$74M,10.11
BSA,BSA LIMITED,Commercial & Professional Services,$73M,0.0
SHM,SHRIRO HOLDINGS LIMITED,Consumer Durables & Apparel,$72M,1.36
BWF,BLACKWALL LIMITED,Financial Services,$72M,2.41
FLN,FREELANCER LIMITED,Commercial & Professional Services,$72M,-3.03
HAV,HAVILAH RESOURCES LIMITED,Materials,$71M,0.0
AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,$71M,1.3
CLV,CLOVER CORPORATION LIMITED,Materials,$70M,0.0
AUE,AURUM RESOURCES LIMITED,Materials,$70M,-3.03
RWL,RUBICON WATER LIMITED,Technology Hardware & Equipment,$70M,-3.33
PEX,PEEL MINING LIMITED,Materials,$70M,0.0
LKE,LAKE RESOURCES N.L.,Materials,$69M,-2.44
MSV,MITCHELL SERVICES LIMITED,Materials,$69M,-1.52
CKA,COKAL LIMITED,Materials,$69M,-6.25
SB2,SALTER BROTHERS EMERGING COMPANIES LIMITED,Not Applic,$69M,-0.63
MYG,MAYFIELD GROUP HOLDINGS LIMITED,Capital Goods,$69M,3.95
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,Financial Services,$68M,-0.96
CUE,CUE ENERGY RESOURCES LIMITED,Energy,$68M,1.06
DUB,DUBBER CORPORATION LIMITED,Software & Services,$68M,4.0
RKN,RECKON LIMITED,Software & Services,$67M,5.36
NMG,NEW MURCHISON GOLD LIMITED,Materials,$67M,0.0
BNZ,BENZ MINING CORP.,Materials,$66M,0.0
CEL,CHALLENGER GOLD LIMITED,Materials,$66M,0.0
AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials,$66M,11.11
ATP,ATLAS PEARLS LTD,Consumer Durables & Apparel,$66M,3.57
CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services,$66M,4.76
SHG,SINGULAR HEALTH GROUP LTD,Health Care Equipment & Services,$65M,37.5
ROG,RED SKY ENERGY LIMITED.,Energy,$65M,0.0
BCB,BOWEN COKING COAL LIMITED,Materials,$65M,20.0
LBL,LASERBOND LIMITED,Capital Goods,$65M,0.0
HRN,HORIZON GOLD LIMITED,Materials,$64M,4.71
ARL,ARDEA RESOURCES LIMITED,Materials,$64M,-11.43
RDG,RESOURCE DEVELOPMENT GROUP LIMITED,Capital Goods,$62M,-4.55
FHE,FRONTIER ENERGY LIMITED,Materials,$62M,9.09
CPV,CLEARVUE TECHNOLOGIES LIMITED,Capital Goods,$62M,2.17
WAA,WAM ACTIVE LIMITED,Not Applic,$61M,1.86
SEG,SPORTS ENTERTAINMENT GROUP LIMITED,Media & Entertainment,$61M,0.0
HYT,HYTERRA LTD,Energy,$61M,5.71
JBY,JAMES BAY MINERALS LIMITED,Materials,$61M,-6.98
JGH,JADE GAS HOLDINGS LIMITED,Materials,$61M,-2.86
KYP,KINATICO LTD,Software & Services,$60M,3.57
STN,SATURN METALS LIMITED,Materials,$60M,33.33
IIQ,INOVIQ LTD,Health Care Equipment & Services,$60M,0.0
FEG,FAR EAST GOLD LTD,Materials,$60M,-5.41
MCM,MC MINING LIMITED,Energy,$60M,-13.79
RZI,RAIZ INVEST LIMITED,Financial Services,$59M,-4.24
SFX,SHEFFIELD RESOURCES LIMITED,Materials,$59M,-5.88
BOL,BOOM LOGISTICS LIMITED,Capital Goods,$59M,-0.72
NTI,NEUROTECH INTERNATIONAL LIMITED,Health Care Equipment & Services,$58M,1.82
KGL,KGL RESOURCES LIMITED,Materials,$58M,-4.26
E25,ELEMENT 25 LIMITED,Materials,$58M,-5.45
DBF,DUXTON FARMS LTD,"Food, Beverage & Tobacco",$58M,1.62
AZL,ARIZONA LITHIUM LIMITED,Materials,$58M,0.0
KSN,KINGSTON RESOURCES LIMITED,Materials,$58M,-1.35
88E,88 ENERGY LIMITED,Energy,$58M,0.0
ELS,ELSIGHT LIMITED,Technology Hardware & Equipment,$58M,0.0
YRL,YANDAL RESOURCES LIMITED,Materials,$57M,-8.54
MTH,MITHRIL SILVER AND GOLD LIMITED,Materials,$57M,2.67
TIP,TEAMINVEST PRIVATE GROUP LIMITED,Financial Services,$56M,-1.46
M4MN,MACRO METALS LIMITED,Materials,$56M,0.0
M4M,MACRO METALS LIMITED,Materials,$56M,0.0
MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,Energy,$56M,-2.04
PFG,PRIME FINANCIAL GROUP LIMITED,Financial Services,$56M,-2.13
HRZ,HORIZON MINERALS LIMITED,Materials,$56M,0.0
EWC,ENERGY WORLD CORPORATION LTD,Utilities,$55M,-17.39
SWF,SELFWEALTH LIMITED,Financial Services,$55M,0.0
HAS,HASTINGS TECHNOLOGY METALS LTD,Materials,$55M,-3.08
MNB,MINBOS RESOURCES LIMITED,Materials,$55M,-10.29
DTZ,DOTZ NANO LIMITED,Technology Hardware & Equipment,$55M,-2.0
BGD,BARTON GOLD HOLDINGS LIMITED,Materials,$55M,0.0
SPD,SOUTHERN PALLADIUM LIMITED,Materials,$55M,0.0
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,$54M,-0.74
FSI,FLAGSHIP INVESTMENTS LIMITED,Not Applic,$54M,2.94
CY5,CYGNUS METALS LIMITED,Materials,$53M,-13.64
NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,Not Applic,$53M,0.0
PSC,PROSPECT RESOURCES LIMITED,Materials,$53M,3.33
NMT,NEOMETALS LTD,Materials,$53M,-5.33
EPY,EARLYPAY LTD,Financial Services,$53M,-4.88
RAD,RADIOPHARM THERANOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$53M,-11.54
EXR,ELIXIR ENERGY LIMITED,Energy,$53M,2.27
AWJ,AURIC MINING LIMITED,Materials,$52M,-6.94
5GN,5G NETWORKS LIMITED.,Software & Services,$52M,-5.56
CHW,CHILWA MINERALS LTD,Materials,$51M,-14.71
NWC,NEW WORLD RESOURCES LIMITED,Materials,$51M,-5.56
TEK,THORNEY TECHNOLOGIES LTD,Not Applic,$51M,-3.57
SIO,SIMONDS GROUP LIMITED,Consumer Durables & Apparel,$50M,0.0
5EA,5E ADVANCED MATERIALS INC.,Materials,$50M,1.39
MX1,MICRO-X LIMITED,Health Care Equipment & Services,$50M,21.43
IRD,IRON ROAD LIMITED,Materials,$50M,5.36
CMP,COMPUMEDICS LIMITED,Health Care Equipment & Services,$50M,7.84
DCC,DIGITALX LIMITED,Software & Services,$49M,7.49
JAN,JANISON EDUCATION GROUP LIMITED,Software & Services,$49M,2.7
EUR,EUROPEAN LITHIUM LIMITED,Materials,$49M,-2.86
CLE,CYCLONE METALS LIMITED,Materials,$49M,4.44
IBC,IRONBARK CAPITAL LIMITED,Not Applic,$49M,0.0
FML,FOCUS MINERALS LTD,Materials,$49M,-10.81
ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$49M,5.88
CHL,CAMPLIFY HOLDINGS LIMITED,Transportation,$49M,-8.11
SGI,STEALTH GROUP HOLDINGS LTD,Capital Goods,$49M,-9.57
TVL,TOUCH VENTURES LIMITED,Financial Services,$49M,4.48
CYP,CYNATA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$48M,16.67
FAR,FAR LIMITED,Energy,$48M,0.96
OEL,OTTO ENERGY LIMITED,Energy,$48M,-9.09
ANO,ADVANCE ZINCTEK LIMITED,Materials,$48M,0.0
RVT,RICHMOND VANADIUM TECHNOLOGY LIMITED,Materials,$48M,0.0
GHM,GOLDEN HORSE MINERALS LIMITED,Materials,$48M,0.0
TYP,TRYPTAMINE THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$47M,0.0
SEQ,SEQUOIA FINANCIAL GROUP LTD,Financial Services,$47M,0.66
BXN,BIOXYNE LIMITED,Household & Personal Products,$47M,36.84
NOU,NOUMI LIMITED,"Food, Beverage & Tobacco",$47M,-5.88
ERM,EMMERSON RESOURCES LIMITED,Materials,$47M,-2.63
PCK,PAINCHEK LTD,Health Care Equipment & Services,$47M,-7.41
LMG,LATROBE MAGNESIUM LIMITED,Materials,$47M,-4.76
GL1,GLOBAL LITHIUM RESOURCES LIMITED,Materials,$47M,-5.26
COV,CLEO DIAGNOSTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$47M,-1.39
VIT,VITURA HEALTH LIMITED,Health Care Equipment & Services,$47M,2.7
MYE,MASTERMYNE GROUP LIMITED,Materials,$46M,-9.09
LM8,LUNNON METALS LIMITED,Materials,$46M,-8.7
AGR,AGUIA RESOURCES LIMITED,Materials,$46M,33.33
EDC,EILDON CAPITAL GROUP,Financial Services,$46M,0.0
AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",$46M,-6.9
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,$46M,0.0
DRE,DREADNOUGHT RESOURCES LTD,Materials,$45M,0.0
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$45M,0.0
CZR,CZR RESOURCES LTD,Materials,$45M,2.5
LRT,LOWELL RESOURCES FUND,Not Applic,$45M,0.47
MCP,MCPHERSON'S LIMITED,Household & Personal Products,$45M,0.0
AMN,AGRIMIN LIMITED,Materials,$45M,0.0
NTD,NTAW HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$44M,-32.47
PVE,PO VALLEY ENERGY LIMITED,Energy,$44M,8.82
AYA,ARTRYA LIMITED,Health Care Equipment & Services,$44M,2.11
BKT,BLACK ROCK MINING LIMITED,Materials,$44M,6.06
CD2,CD PRIVATE EQUITY FUND II,Not Applic,$44M,3.03
ESR,ESTRELLA RESOURCES LIMITED,Materials,$44M,5.0
VTM,VICTORY METALS LIMITED,Materials,$43M,-5.88
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",$43M,27.66
MM8,MEDALLION METALS LIMITED.,Materials,$43M,10.0
IDT,IDT AUSTRALIA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$43M,0.0
CVB,CURVEBEAM AI LIMITED,Health Care Equipment & Services,$43M,-8.33
BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,$42M,-4.17
ETM,ENERGY TRANSITION MINERALS LTD,Materials,$42M,0.0
WA8,WARRIEDAR RESOURCES LIMITED,Materials,$42M,-12.24
OVT,OVANTI LIMITED,Media & Entertainment,$42M,-15.0
FLX,FELIX GROUP HOLDINGS LTD,Software & Services,$42M,-6.82
SPX,SPENDA LIMITED,Software & Services,$42M,0.0
BRK,BROOKSIDE ENERGY LIMITED,Energy,$42M,1.14
CTE,CRYOSITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$41M,0.0
KAU,KAISER REEF LIMITED,Materials,$41M,-8.33
AVD,AVADA GROUP LIMITED,Commercial & Professional Services,$41M,0.0
STG,STRAKER LIMITED,Media & Entertainment,$41M,9.91
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,$41M,-3.03
SPL,STARPHARMA HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$41M,0.0
QFE,QUICKFEE LIMITED,Financial Services,$41M,0.0
SEN,SENETAS CORPORATION LIMITED,Technology Hardware & Equipment,$41M,8.33
PHX,PHARMX TECHNOLOGIES LIMITED,Software & Services,$41M,2.82
AVC,AUCTUS INVESTMENT GROUP LIMITED,Financial Services,$41M,-0.88
CCA,CHANGE FINANCIAL LIMITED,Financial Services,$41M,-3.45
ARN,ALDORO RESOURCES LIMITED,Materials,$40M,0.0
XF1,XREF LIMITED,Software & Services,$40M,2.38
RTH,RAS TECHNOLOGY HOLDINGS LIMITED,Commercial & Professional Services,$40M,0.87
MKT,THE MARKET LIMITED,Media & Entertainment,$40M,-16.67
FFI,FFI HOLDINGS LIMITED,"Food, Beverage & Tobacco",$40M,1.09
QHL,QUICKSTEP HOLDINGS LIMITED,Capital Goods,$40M,39.37
PRO,PROPHECY INTERNATIONAL HOLDINGS LIMITED,Software & Services,$40M,-1.82
TLM,TALISMAN MINING LIMITED,Materials,$40M,-2.27
PTX,PRESCIENT THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$39M,13.95
RTR,RUMBLE RESOURCES LIMITED,Materials,$39M,-6.82
KAT,KATANA CAPITAL LIMITED,Not Applic,$39M,0.4
FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,Software & Services,$39M,4.55
LGP,LITTLE GREEN PHARMA LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$39M,-7.69
SUV,SUVO STRATEGIC MINERALS LIMITED,Materials,$39M,-9.3
DDB,DYNAMIC GROUP HOLDINGS LIMITED,Capital Goods,$39M,0.0
AGY,ARGOSY MINERALS LIMITED,Materials,$39M,0.0
GFL,GLOBAL MASTERS FUND LIMITED,Not Applic,$39M,-1.08
PH2,PURE HYDROGEN CORPORATION LIMITED,Energy,$39M,4.76
IDA,INDIANA RESOURCES LIMITED,Materials,$39M,1.67
TIG,TIGERS REALM COAL LIMITED,Materials,$39M,0.0
VBC,VERBREC LIMITED,Capital Goods,$39M,0.0
BBC,BNK BANKING CORPORATION LIMITED,Banks,$39M,-1.52
MEU,MARMOTA LIMITED,Energy,$39M,0.0
DEV,DEVEX RESOURCES LIMITED,Energy,$39M,-6.06
EGR,ECOGRAF LIMITED,Materials,$39M,4.65
IR1,IRIS METALS LIMITED,Materials,$39M,-4.17
CTP,CENTRAL PETROLEUM LIMITED,Energy,$39M,1.96
JAT,JATCORP LIMITED,Consumer Discretionary Distribution & Retail,$39M,27.03
CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail,$39M,-5.71
JPR,JUPITER ENERGY LIMITED,Energy,$38M,0.0
PPL,PUREPROFILE LTD,Media & Entertainment,$38M,-11.11
MMA,MARONAN METALS LIMITED,Materials,$38M,2.44
I88,INFINI RESOURCES LIMITED,Materials,$38M,21.05
WWI,WEST WITS MINING LIMITED,Materials,$38M,7.69
NGE,NGE CAPITAL LIMITED,Not Applic,$38M,-2.73
MPX,MUSTERA PROPERTY GROUP LIMITED,Real Estate Management & Development,$38M,0.0
RDN,RAIDEN RESOURCES LIMITED,Materials,$38M,0.0
BVR,BELLAVISTA RESOURCES LTD,Materials,$38M,-12.79
VIG,VICTOR GROUP HOLDINGS LIMITED,Software & Services,$38M,0.0
MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED,Financial Services,$38M,-0.48
AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,$38M,0.0
CYM,CYPRIUM METALS LIMITED,Materials,$38M,-4.35
WZR,WISR LIMITED,Financial Services,$38M,8.0
BML,BOAB METALS LIMITED,Materials,$37M,6.9
YOJ,YOJEE LIMITED,Software & Services,$37M,4.0
SKY,SKY METALS LIMITED,Materials,$37M,0.0
HMY,HARMONEY CORP LIMITED,Financial Services,$37M,-6.49
SWP,SWOOP HOLDINGS LIMITED,Telecommunication Services,$37M,0.0
VR1,VECTION TECHNOLOGIES LTD,Software & Services,$36M,7.69
BDX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$36M,1.06
STM,SUNSTONE METALS LTD,Materials,$36M,16.67
ENL,ENLITIC INC.,Health Care Equipment & Services,$36M,1.64
RDM,RED METAL LIMITED,Materials,$36M,-9.09
OSM,OSMOND RESOURCES LIMITED,Materials,$36M,5.63
ADA,ADACEL TECHNOLOGIES LIMITED,Software & Services,$36M,-1.1
GAP,GALE PACIFIC LIMITED,Consumer Durables & Apparel,$36M,-7.41
GEN,GENMIN LIMITED,Materials,$35M,-9.09
EMH,EUROPEAN METALS HOLDINGS LIMITED,Materials,$35M,9.38
TAM,TANAMI GOLD NL,Materials,$35M,7.14
DEL,DELOREAN CORPORATION LIMITED,Utilities,$35M,-15.79
DGH,DESANE GROUP HOLDINGS LIMITED,Real Estate Management & Development,$35M,0.0
DEM,DE.MEM LIMITED,Utilities,$35M,4.17
PEK,PEAK RARE EARTHS LIMITED,Materials,$35M,-10.42
MHK,METAL HAWK LIMITED.,Materials,$34M,0.0
EYE,NOVA EYE MEDICAL LIMITED,Health Care Equipment & Services,$34M,3.45
TRE,TOUBANI RESOURCES LIMITED,Materials,$34M,23.08
UBI,UNIVERSAL BIOSENSORS INC.,Health Care Equipment & Services,$34M,-12.0
KAI,KAIROS MINERALS LIMITED,Materials,$34M,0.0
TSO,TESORO GOLD LTD,Materials,$34M,0.0
CSX,CLEANSPACE HOLDINGS LIMITED,Health Care Equipment & Services,$34M,21.62
VTX,VERTEX MINERALS LIMITED,Materials,$34M,-2.63
SIX,SPRINTEX LIMITED,Automobiles & Components,$34M,1.64
NXS,NEXT SCIENCE LIMITED,Health Care Equipment & Services,$34M,-4.0
NVO,NOVO RESOURCES CORP.,Materials,$33M,-4.08
NXD,NEXTED GROUP LIMITED,Consumer Services,$33M,-6.25
TMG,TRIGG MINERALS LIMITED,Materials,$33M,-4.88
VRX,VRX SILICA LIMITED,Materials,$33M,2.33
ILA,ISLAND PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$33M,5.88
GBR,GREAT BOULDER RESOURCES LIMITED,Materials,$33M,-8.7
ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$33M,1.18
WTL,WT FINANCIAL GROUP LIMITED,Financial Services,$33M,6.74
MFD,MAYFIELD CHILDCARE LIMITED,Consumer Services,$32M,0.0
DNA,DONACO INTERNATIONAL LIMITED,Consumer Services,$32M,-3.45
CRI,CRITICA LIMITED,Materials,$32M,0.0
NGY,NUENERGY GAS LIMITED,Energy,$32M,0.0
AQI,ALICANTO MINERALS LIMITED,Materials,$32M,0.0
ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$32M,0.0
CC5,CLEVER CULTURE SYSTEMS LIMITED,Health Care Equipment & Services,$32M,-5.56
A3D,AURORA LABS LIMITED,Capital Goods,$31M,1.28
3DP,POINTERRA LIMITED,Software & Services,$31M,-2.5
IXR,IONIC RARE EARTHS LIMITED,Materials,$31M,0.0
BEZ,BESRA GOLD INC.,Materials,$31M,9.72
WLD,WELLARD LIMITED,"Food, Beverage & Tobacco",$31M,3.45
SRZ,STELLAR RESOURCES LIMITED,Materials,$31M,0.0
WCN,WHITE CLIFF MINERALS LIMITED,Materials,$31M,-5.56
AUN,AURUMIN LIMITED,Materials,$31M,-5.8
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,$31M,-1.18
IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.,Financial Services,$31M,22.22
IPT,IMPACT MINERALS LIMITED,Materials,$31M,5.0
PWN,PARKWAY CORPORATE LIMITED,Materials,$30M,0.0
MI6,MINERALS 260 LIMITED,Materials,$30M,4.17
WTM,WARATAH MINERALS LIMITED,Materials,$30M,-6.25
TDO,3D ENERGI LIMITED,Energy,$30M,-3.19
JRV,JERVOIS GLOBAL LIMITED,Materials,$30M,0.0
RTG,RTG MINING INC.,Materials,$29M,-7.41
DOC,DOCTOR CARE ANYWHERE GROUP PLC,Health Care Equipment & Services,$29M,11.11
COB,COBALT BLUE HOLDINGS LIMITED,Materials,$29M,0.0
GBE,GLOBE METALS & MINING LIMITED,Materials,$29M,-2.44
CAE,CANNINDAH RESOURCES LIMITED,Materials,$29M,-4.76
EMC,EVEREST METALS CORPORATION LTD,Materials,$29M,0.0
AXN,ALLIANCE NICKEL LIMITED,Materials,$29M,7.69
ESK,ETHERSTACK PLC,Software & Services,$29M,25.71
S2R,S2 RESOURCES LTD,Materials,$29M,0.0
VMT,VMOTO LIMITED,Automobiles & Components,$29M,4.29
BRU,BURU ENERGY LIMITED,Energy,$29M,3.9
CDX,CARDIEX LIMITED,Health Care Equipment & Services,$29M,-12.12
MTC,METALSTECH LIMITED,Materials,$29M,12.5
SOP,SYNERTEC CORPORATION LIMITED,Commercial & Professional Services,$29M,-3.51
SNS,SENSEN NETWORKS LIMITED,Software & Services,$29M,-10.0
AMX,AEROMETREX LIMITED,Commercial & Professional Services,$28M,-3.33
HMX,HAMMER METALS LIMITED,Materials,$28M,-3.03
UBN,URBANISE.COM LIMITED,Software & Services,$28M,0.0
FRM,FARM PRIDE FOODS LIMITED,"Food, Beverage & Tobacco",$28M,21.74
TCF,360 CAPITAL MORTGAGE REIT,Not Applic,$28M,-0.84
CCG,COMMS GROUP LTD,Telecommunication Services,$28M,2.63
WAK,WA KAOLIN LIMITED,Materials,$28M,-5.36
TOE,TORO ENERGY LIMITED,Energy,$28M,-2.17
OSL,ONCOSIL MEDICAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$28M,8.33
GTI,GRATIFII LIMITED,Software & Services,$28M,-8.25
MPA,MAD PAWS HOLDINGS LIMITED,Consumer Services,$28M,1.43
JAL,JAMESON RESOURCES LIMITED,Materials,$27M,-6.25
CIW,CLIME INVESTMENT MANAGEMENT LTD,Financial Services,$27M,0.0
ECP,ECP EMERGING GROWTH LIMITED,Not Applic,$27M,-2.94
RMY,RMA GLOBAL LIMITED,Media & Entertainment,$27M,-6.82
AZ9,ASIAN BATTERY METALS PLC,Materials,$27M,-13.46
IVR,INVESTIGATOR RESOURCES LTD,Materials,$27M,-9.52
KME,KIP MCGRATH EDUCATION CENTRES LIMITED,Consumer Services,$27M,-1.05
LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED,Health Care Equipment & Services,$27M,2.86
AEV,AVENIRA LIMITED,Materials,$27M,-11.11
NOX,NOXOPHARM LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$27M,1.01
CLA,CELSIUS RESOURCES LIMITED.,Materials,$27M,0.0
AUQ,ALARA RESOURCES LIMITED,Materials,$27M,23.33
NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,Not Applic,$27M,0.0
FTL,FIRETAIL RESOURCES LIMITED,Materials,$27M,-6.98
AMD,ARROW MINERALS LTD,Materials,$26M,100.0
AW1,AMERICAN WEST METALS LIMITED,Materials,$26M,-4.35
LEG,LEGEND MINING LIMITED,Materials,$26M,0.0
CDO,CADENCE OPPORTUNITIES FUND LIMITED.,Not Applic,$26M,0.0
HE8,HELIOS ENERGY LTD,Energy,$26M,10.0
ARD,ARGENT MINERALS LIMITED,Materials,$26M,-5.56
LCE,LONDON CITY EQUITIES LIMITED,Financial Services,$26M,0.0
FXG,FELIX GOLD LIMITED,Materials,$26M,-11.11
ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,$26M,-5.71
FPC,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,Not Applic,$26M,-0.55
MNC,MERINO & CO. LIMITED,Consumer Durables & Apparel,$26M,22.22
GWR,GWR GROUP LIMITED,Materials,$26M,-2.44
KRM,KINGSROSE MINING LIMITED,Materials,$26M,-2.94
ICI,ICANDY INTERACTIVE LIMITED,Media & Entertainment,$26M,-4.76
RNV,RENERVE LIMITED,Health Care Equipment & Services,$26M,24.14
GT1,GREEN TECHNOLOGY METALS LIMITED,Materials,$25M,3.33
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,Utilities,$25M,3.57
TCO,TRANSMETRO CORPORATION LIMITED,Consumer Services,$25M,0.0
NVQ,NOVIQTECH LIMITED,Software & Services,$25M,-28.12
VMM,VIRIDIS MINING AND MINERALS LIMITED,Materials,$25M,-4.29
VRS,VERIS LIMITED,Commercial & Professional Services,$25M,19.51
NHE,NOBLE HELIUM LIMITED,Energy,$25M,2.17
GPR,GEOPACIFIC RESOURCES LTD,Materials,$25M,-6.28
NFM,NEW FRONTIER MINERALS LIMITED,Materials,$25M,0.0
AAM,AUMEGA METALS LTD,Materials,$25M,-4.65
KPO,KALINA POWER LIMITED,Utilities,$25M,0.0
SUH,SOUTHERN HEMISPHERE MINING LIMITED,Materials,$24M,0.0
CST,CASTILE RESOURCES LTD,Materials,$24M,2.56
BB1,BLINKLAB LIMITED,Health Care Equipment & Services,$24M,3.77
FGH,FORESTA GROUP HOLDINGS LIMITED,Materials,$24M,0.0
CWX,CARAWINE RESOURCES LIMITED,Materials,$24M,2.04
MKR,MANUKA RESOURCES LTD.,Materials,$24M,-3.45
RHT,RESONANCE HEALTH LIMITED,Health Care Equipment & Services,$23M,-19.05
CG1,CARBONXT GROUP LIMITED,Materials,$23M,3.39
AI1,ADISYN LTD,Software & Services,$23M,-2.67
BTC,BTC HEALTH LTD,Not Applic,$23M,18.03
GC1,GLENNON SMALL COMPANIES LIMITED,Not Applic,$23M,-2.02
TMK,TMK ENERGY LIMITED,Energy,$23M,25.0
G50,G50 CORP LIMITED,Materials,$23M,-3.23
CD1,CD PRIVATE EQUITY FUND I,Not Applic,$23M,3.28
BMR,BALLYMORE RESOURCES LIMITED,Materials,$23M,-19.35
RHY,RHYTHM BIOSCIENCES LIMITED,Health Care Equipment & Services,$23M,2.44
ION,IONDRIVE LIMITED,Materials,$23M,13.04
BRX,BELARAROX LIMITED,Materials,$23M,3.33
MAT,MATSA RESOURCES LIMITED,Materials,$23M,-12.5
GAL,GALILEO MINING LTD,Materials,$23M,-4.17
WAG,THE AUSTRALIAN WEALTH ADVISORS GROUP LIMITED,Financial Services,$23M,0.0
